ProblemSet,RavensProblem,Agent's Answer
Basic Problems B,Basic Problem B-01,2
Basic Problems B,Basic Problem B-02,5
Basic Problems B,Basic Problem B-03,1
Basic Problems B,Basic Problem B-04,3
Basic Problems B,Basic Problem B-05,4
Basic Problems B,Basic Problem B-06,5
Basic Problems B,Basic Problem B-07,6
Basic Problems B,Basic Problem B-08,6
Basic Problems B,Basic Problem B-09,1
Basic Problems B,Basic Problem B-10,3
Basic Problems B,Basic Problem B-11,2
Basic Problems B,Basic Problem B-12,3
Basic Problems C,Basic Problem C-01,0
Basic Problems C,Basic Problem C-02,0
Basic Problems C,Basic Problem C-03,0
Basic Problems C,Basic Problem C-04,0
Basic Problems C,Basic Problem C-05,0
Basic Problems C,Basic Problem C-06,0
Basic Problems C,Basic Problem C-07,0
Basic Problems C,Basic Problem C-08,0
Basic Problems C,Basic Problem C-09,0
Basic Problems C,Basic Problem C-10,0
Basic Problems C,Basic Problem C-11,0
Basic Problems C,Basic Problem C-12,0
Challenge Problems B,Challenge Problem B-01,4
Challenge Problems B,Challenge Problem B-02,1
Challenge Problems B,Challenge Problem B-03,5
Challenge Problems B,Challenge Problem B-04,5
Challenge Problems B,Challenge Problem B-05,3
Challenge Problems B,Challenge Problem B-06,6
Challenge Problems B,Challenge Problem B-07,5
Challenge Problems B,Challenge Problem B-08,2
Challenge Problems B,Challenge Problem B-09,4
Challenge Problems B,Challenge Problem B-10,2
Challenge Problems B,Challenge Problem B-11,5
Challenge Problems B,Challenge Problem B-12,5
Challenge Problems C,Challenge Problem C-01,0
Challenge Problems C,Challenge Problem C-02,0
Challenge Problems C,Challenge Problem C-03,0
Challenge Problems C,Challenge Problem C-04,0
Challenge Problems C,Challenge Problem C-05,0
Challenge Problems C,Challenge Problem C-06,0
Challenge Problems C,Challenge Problem C-07,0
Challenge Problems C,Challenge Problem C-08,0
Challenge Problems C,Challenge Problem C-09,0
Challenge Problems C,Challenge Problem C-10,0
Challenge Problems C,Challenge Problem C-11,0
Challenge Problems C,Challenge Problem C-12,0
